names,scores,logfoldchanges,pvals,pvals_adj
TRAF5,-2.3914647,-0.6878594,0.01678129904035286,0.04364731703407005
R3HCC1,-2.3919263,-0.2797458,0.01676021070464921,0.04360763666280874
ANKRD26,-2.392734,-0.41856995,0.016723362095716534,0.043539868929071794
MANBAL,-2.393657,-0.3185736,0.01668133651330872,0.043445589626007954
RBM12,-2.394234,-0.38846934,0.01665511763914226,0.043391691229009106
ORC1,-2.395388,-0.4194523,0.016602788427441225,0.04326970905691799
AUNIP,-2.4005804,-0.42218077,0.016369089676624284,0.042731538521064726
SLK,-2.4009266,-0.4174763,0.016353613023370003,0.042705329221599524
GTF3C5,-2.4018497,-0.30782276,0.01631240478432602,0.042611885460884895
POLD1,-2.402196,-0.3764935,0.016296975233124126,0.04258574200139388
TOR1AIP1,-2.4026575,-0.37067577,0.016276422447329443,0.04254618912604751
INTS5,-2.4056578,-0.512733,0.01614338366656021,0.042254674675385025
ACBD3,-2.4058886,-0.33446607,0.016133189614749237,0.04224206814128509
ZNF3,-2.4063501,-0.62350297,0.016112818484023496,0.042202797329778115
GOSR2,-2.407273,-0.37921718,0.016072144041426144,0.04211030401781266
TRAPPC12,-2.4099271,-0.5049916,0.015955707366814318,0.04181917963507723
PODXL2,-2.4120042,-0.27554077,0.015865101024709848,0.04162336958887637
DOK1,-2.4150043,-0.39788195,0.01573502406575349,0.04129589510073293
GLMN,-2.4151196,-0.53382677,0.015730039895077055,0.04129589510073293
PNPO,-2.4153504,-0.6443447,0.01572007571981094,0.0412842510127432
UBQLN1,-2.4200814,-0.34365425,0.01551703012351006,0.04079192490634923
ICMT,-2.4206583,-0.34178597,0.01549242703770075,0.040740881948824706
UAP1,-2.4207737,-0.25890538,0.015487510542222409,0.040740881948824706
TMEM184C,-2.4207737,-0.7744649,0.015487510542222409,0.040740881948824706
TARS2,-2.42112,-0.52969456,0.015472769293427398,0.04073009477207514
PELI1,-2.4236586,-0.94909585,0.015365043603433961,0.040460079619501765
PDHX,-2.4240048,-0.3311195,0.015350405007510537,0.040435087637154685
RAB35,-2.4242356,-0.41882172,0.01534065276541623,0.04042295453617729
SGOL2,-2.4250433,-0.34799233,0.015306562855885365,0.04034666148757703
HLTF,-2.4250433,-0.2914778,0.015306562855885365,0.04034666148757703
NCAPH2,-2.4251587,-0.375115,0.015301698317010127,0.04034666148757703
NEK2,-2.425505,-0.40922254,0.01528711286572876,0.040335999852300776
PRKCQ-AS1,-2.4266586,-0.30642578,0.015238583056854974,0.040221461663842675
PEPD,-2.4316206,-0.29631534,0.015031447229372929,0.03972813525798262
ZNF74,-2.432313,-0.39764556,0.015002742616224952,0.0396789707913963
UBIAD1,-2.433582,-0.4087044,0.01495024288316269,0.03955343814322766
RBMX2,-2.4342744,-0.32449442,0.014921674938012889,0.039491157896931015
SFSWAP,-2.436813,-0.30393213,0.014817336871131272,0.03926794234910126
RBAK-RBAKDN,-2.4384286,-0.7937812,0.014751275147278869,0.039119266131625766
HEXIM1,-2.4386594,-0.5962622,0.01474185897948096,0.039107498238373166
L3MBTL2,-2.4408517,-0.5034265,0.014652669267210879,0.03896300510966196
HMMR,-2.4411979,-0.34890616,0.014638630248970717,0.03893885560638841
MAGEF1,-2.4417748,-0.29111215,0.01461525823438275,0.03888985549833215
SOX4,-2.4430442,-0.55012506,0.014563955566505239,0.03877961727962666
SH3GLB2,-2.4435058,-0.83545905,0.014545339454315454,0.03874318121859881
NAPA,-2.4437366,-0.31145507,0.014536039268426485,0.03873154289467098
CAAP1,-2.443852,-0.7696142,0.014531391141956068,0.03873154289467098
C6orf106,-2.4441981,-0.4015321,0.014517454624748436,0.038708284479768824
EIF4G3,-2.4461596,-0.33694723,0.014438703423856433,0.03853755195188321
STK16,-2.4461596,-0.34761846,0.014438703423856433,0.03853755195188321
MKS1,-2.4467366,-0.7254089,0.014415613117051567,0.038514415310541485
HYLS1,-2.4518137,-0.9814284,0.014213818653439673,0.03802777436061602
PRKCI,-2.4540062,-0.32322174,0.014127453400244612,0.03782247663903252
WIPF3,-2.4540062,-1.0749186,0.014127453400244612,0.03782247663903252
PRKD2,-2.4565449,-0.51094913,0.014028030338972994,0.03759473842123264
PPM1A,-2.458968,-0.44982094,0.01393370313723332,0.037354688785995814
KIDINS220,-2.459545,-0.45266464,0.013911326980135735,0.03730743374153848
GTF3C1,-2.4596603,-0.47281194,0.013906855557532108,0.03730743374153848
CDC5L,-2.461045,-0.28617552,0.013853297374844895,0.03718990118913419
SLC6A6,-2.4619682,-1.0683438,0.013817693175760596,0.03710700167370923
C19orf12,-2.4628913,-0.41142365,0.013782169802403786,0.03703617942234352
SLC5A6,-2.463353,-0.424897,0.013764438377464588,0.037001938211835846
PKNOX1,-2.4641607,-0.5172304,0.013733456855768298,0.036931291887045525
ANKRD42,-2.464276,-1.1078461,0.013729035955362687,0.036931291887045525
CCDC130,-2.4654298,-0.55994636,0.013684896032685448,0.03685040640295092
TTC1,-2.4680839,-0.30148357,0.013583849590282217,0.03661672564573329
STXBP6,-2.4694686,-0.42771235,0.013531391826395246,0.036500371839400636
APOA1BP,-2.4698148,-0.2504796,0.013518305385023294,0.03647759835086155
FBXL19,-2.4700456,-0.6858498,0.013509587304513616,0.03646660078245857
FAM122A,-2.4728148,-0.4204782,0.013405357183628184,0.03621013778452523
PARPBP,-2.4730456,-0.38752225,0.01339670350564686,0.03619921088299143
SERTAD1,-2.4730456,-0.79861206,0.01339670350564686,0.03619921088299143
PHF20,-2.4730456,-0.30015993,0.01339670350564686,0.03619921088299143
DDX27,-2.4753535,-0.29998797,0.01331043790050914,0.03600326780595706
TMEM163,-2.4768536,-0.42957503,0.013254628916739916,0.035877019345620965
FAM212A,-2.4777765,-0.46762627,0.013220387841146167,0.03579667235167292
ACTR3B,-2.4795074,-0.56202936,0.013156396560553792,0.03563568792522415
HIBCH,-2.4810076,-0.33021724,0.013101159154643927,0.03549831154181719
WDFY1,-2.4815845,-0.64776474,0.01307996867109691,0.03545312419305253
TRAPPC10,-2.4832,-0.31050447,0.013020796492176153,0.03530492110667714
TRMT6,-2.4838924,-0.32504672,0.012995509552204347,0.03524852470047139
PIK3R3,-2.4845846,-0.95691,0.012970266060886942,0.03519220722219929
SLC39A10,-2.485854,-0.32958078,0.012924098964994735,0.035103318592681065
PRKX,-2.4865463,-0.56284684,0.01289897823859898,0.03504720652514527
UBAP2,-2.4872386,-0.26440683,0.012873900721344249,0.03500328493117309
ZMYM4,-2.4874694,-0.28222117,0.012865551140183685,0.03500328493117309
NAMPT,-2.4874694,-0.4424568,0.012865551140183685,0.03500328493117309
ZC3H4,-2.4878156,-0.6243777,0.012853035752316892,0.03499500722164616
NACC1,-2.4878156,-0.4802462,0.012853035752316892,0.03499500722164616
SMUG1,-2.4903543,-0.2712358,0.012761584937345548,0.0347701178227018
FIGNL1,-2.4931235,-0.8223639,0.012662477604270878,0.03452404081275521
BUD13,-2.4991238,-0.69871694,0.012450079145234862,0.034003953993678664
ARMCX5,-2.4995854,-0.8030759,0.012433872248792504,0.03397150139626613
CHAMP1,-2.5009701,-0.28681654,0.01238536361091774,0.03385074153227517
COL18A1,-2.5014317,-0.26017204,0.01236923135514469,0.03381841708829152
SH2B1,-2.5016625,-0.6718097,0.012361172209002451,0.033808150313967354
MIS12,-2.501778,-0.416904,0.012357144380379933,0.033808150313967354
LGALSL,-2.502701,-1.2488035,0.012324963580949524,0.03373260938270331
FANCA,-2.5037394,-0.572495,0.012288848940086741,0.03364548916848426
INO80E,-2.5043163,-0.3610416,0.012268825786954304,0.03360238024983475
TCF3,-2.5055857,-0.36104304,0.012224876563684482,0.03349368866680907
NR2F6,-2.505701,-0.31349805,0.012220888105228098,0.03349368866680907
ATM,-2.5065088,-0.3555835,0.012193001165210474,0.03342967684213901
CXorf40B,-2.5069704,-0.45596603,0.012177091100622105,0.03339771319671321
UBE2Q1,-2.5077782,-0.30155775,0.012149292749940033,0.03334475700586267
ZNF668,-2.5078936,-0.92934424,0.012145326151197473,0.03334475700586267
SART1,-2.5084705,-0.51929384,0.01212551036762028,0.033302756621558495
PRDM2,-2.508586,-0.36660665,0.012121550650977567,0.033302756621558495
PPFIA1,-2.5097399,-0.30365485,0.01208201647071416,0.03320652182556324
LRRFIP1,-2.5105474,-0.27334616,0.012054410584611775,0.03314224541201453
KPNA2,-2.5113552,-0.26808825,0.012026860622391533,0.033078077797228815
POLRMT,-2.5120475,-0.3440772,0.012003290807622932,0.03302481586475591
SYAP1,-2.5150478,-0.3111695,0.011901627454618362,0.03277955247406285
PMS2,-2.5162017,-0.88786405,0.011862729919294528,0.03269534860212579
